"","ModuleColors","genes"
"6509","black","LOC693464"
"6518","black","LOC693503"
"6519","black","LOC693505"
"6545","black","LOC693711"
"6564","black","LOC693862"
"6566","black","LOC693877"
"6585","black","LOC694027"
"6620","black","LOC694390"
"6628","black","LOC694431"
"6631","black","LOC694472"
"6666","black","LOC694817"
"6704","black","LOC695144"
"6711","black","LOC695170"
"6716","black","LOC695210"
"6720","black","LOC695259"
"6792","black","LOC695784"
"6802","black","LOC695847"
"6812","black","LOC695913"
"6828","black","LOC696005"
"6848","black","LOC696131"
"6854","black","LOC696174"
"6864","black","LOC696253"
"6880","black","LOC696348"
"6883","black","LOC696367"
"6893","black","LOC696439"
"6924","black","LOC696659"
"6956","black","LOC696896"
"6973","black","LOC696981"
"6978","black","LOC696999"
"7001","black","LOC697168"
"7008","black","LOC697203"
"7028","black","LOC697392"
"7049","black","LOC697523"
"7051","black","LOC697531"
"7083","black","LOC697760"
"7087","black","LOC697793"
"7106","black","LOC697915"
"7134","black","LOC698116"
"7161","black","LOC698288"
"7167","black","LOC698322"
"7178","black","LOC698413"
"7186","black","LOC698454"
"7189","black","LOC698477"
"7206","black","LOC698668"
"7233","black","LOC698907"
"7252","black","LOC699038"
"7256","black","LOC699057"
"7293","black","LOC699332"
"7333","black","LOC699548"
"7336","black","LOC699570"
"7354","black","LOC699757"
"7433","black","LOC700406"
"7438","black","LOC700450"
"7490","black","LOC700878"
"7523","black","LOC701200"
"7688","black","LOC702527"
"7696","black","LOC702642"
"7697","black","LOC702644"
"7707","black","LOC702779"
"7787","black","LOC703455"
"7800","black","LOC703598"
"7813","black","LOC703697"
"7819","black","LOC703748"
"7826","black","LOC703781"
"7843","black","LOC703879"
"7848","black","LOC703901"
"7945","black","LOC704748"
"7953","black","LOC704837"
"7969","black","LOC705016"
"7977","black","LOC705134"
"8016","black","LOC705494"
"8037","black","LOC705670"
"8078","black","LOC706022"
"8087","black","LOC706114"
"8108","black","LOC706318"
"8131","black","LOC706446"
"8177","black","LOC706913"
"8197","black","LOC707105"
"8257","black","LOC707573"
"8277","black","LOC707700"
"8319","black","LOC707967"
"8321","black","LOC707984"
"8341","black","LOC708167"
"8342","black","LOC708171"
"8352","black","LOC708235"
"8353","black","LOC708240"
"8374","black","LOC708358"
"8376","black","LOC708395"
"8387","black","LOC708457"
"8463","black","LOC708933"
"8473","black","LOC708973"
"8500","black","LOC709083"
"8503","black","LOC709090"
"8556","black","LOC709386"
"8597","black","LOC709604"
"8633","black","LOC709758"
"8713","black","LOC710246"
"8717","black","LOC710269"
"8729","black","LOC710328"
"8752","black","LOC710450"
"8774","black","LOC710568"
"8830","black","LOC710837"
"8901","black","LOC711210"
"8915","black","LOC711298"
"8935","black","LOC711416"
"8952","black","LOC711519"
"9014","black","LOC711884"
"9021","black","LOC711920"
"9054","black","LOC712111"
"9074","black","LOC712263"
"9084","black","LOC712320"
"9090","black","LOC712347"
"9163","black","LOC712789"
"9175","black","LOC712879"
"9202","black","LOC713060"
"9204","black","LOC713069"
"9234","black","LOC713208"
"9303","black","LOC713579"
"9314","black","LOC713654"
"9333","black","LOC713761"
"9409","black","LOC714171"
"9422","black","LOC714235"
"9438","black","LOC714325"
"9441","black","LOC714356"
"9618","black","LOC715375"
"9729","black","LOC716022"
"9780","black","LOC716330"
"9791","black","LOC716408"
"9819","black","LOC716587"
"9839","black","LOC716674"
"9874","black","LOC716872"
"9878","black","LOC716897"
"9898","black","LOC716998"
"9904","black","LOC717034"
"9929","black","LOC717185"
"9969","black","LOC717391"
"9991","black","LOC717518"
"9999","black","LOC717555"
"10050","black","LOC717834"
"10068","black","LOC717921"
"10095","black","LOC718051"
"10134","black","LOC718298"
"10184","black","LOC718554"
"10194","black","LOC718628"
"10212","black","LOC718726"
"10222","black","LOC718812"
"10302","black","LOC719197"
"10319","black","LOC719341"
"10326","black","LOC719363"
"10376","black","LOC719632"
"10392","black","LOC719724"
"10427","black","LOC719949"
"10472","black","LOC720187"
"10474","black","LOC720199"
"10486","black","LOC720273"
"10494","black","LOC720327"
"10511","black","LOC720498"
"10547","black","LOC720866"
"10588","black","LOC721163"
"10605","black","LOC721285"
"10630","black","LOC721470"
"10661","black","LOC721654"
"10715","black","LOC722000"
"10822","black","LOC722627"
"10843","black","LOC722789"
"10874","black","LOC729580"
"10923","black","LPPR1"
"10929","black","LRCH3"
"10973","black","LRRC37A16P"
"11008","black","LRRTM2"
"11064","black","LYRM2"
"11096","black","MAFG"
"11102","black","MAGEB1"
"11114","black","MAGI1"
"11115","black","MAGI2"
"11121","black","MALAT1"
"11156","black","MAP1B"
"11157","black","MAP1LC3B"
"11179","black","MAP6"
"11193","black","MAPKAPK2"
"11220","black","MAST4"
"11272","black","MCM7"
"11273","black","MCM8"
"11292","black","MDM2"
"11299","black","MECOM"
"11301","black","MED1"
"11306","black","MED13"
"11363","black","METTL16"
"11416","black","MGC2752"
"11435","black","MIAT"
"11451","black","MINA"
"11472","black","MIR568"
"11475","black","MIR770"
"11485","black","MKLN1"
"11494","black","MLEC"
"11498","black","MLL"
"11500","black","MLL3"
"11503","black","MLLT3"
"11526","black","MMP16"
"11573","black","MOSPD1"
"11580","black","MPHOSPH10"
"11600","black","MPZL1"
"11646","black","MRPL49"
"11653","black","MRPS11"
"11675","black","MRPS5"
"11697","black","MSI2"
"11722","black","MTDH"
"11725","black","MTF1"
"11731","black","MTHFD2L"
"11747","black","MTPAP"
"11751","black","MTRF1L"
"11771","black","MUTED"
"11777","black","MXI1"
"11794","black","MYEF2"
"11798","black","MYH10"
"11806","black","MYH7B"
"11831","black","MYO5A"
"11834","black","MYO6"
"11837","black","MYO9A"
"11856","black","N4BP1"
"11857","black","N4BP2"
"11866","black","NAA25"
"11869","black","NAA50"
"11889","black","NAMPT"
"11890","black","NANOG"
"11917","black","NAV1"
"11918","black","NAV2"
"11931","black","NCBP1"
"11944","black","NCOA3"
"11987","black","NDUFS1"
"11997","black","NEB"
"12052","black","NFIX"
"12084","black","NIN"
"12090","black","NIPBL"
"12157","black","NOL9"
"12232","black","NR2C2"
"12252","black","NRG1"
"12263","black","NRP2"
"12267","black","NRXN1"
"12304","black","NTRK3"
"12332","black","NUFIP2"
"12349","black","NUP88"
"12365","black","NYAP2"
"12391","black","ODZ2"
"12424","black","OPRM1"
"12538","black","OSGEPL1"
"12559","black","OTUD6A"
"12591","black","PA2G4"
"12609","black","PAFAH1B2"
"12623","black","PAK3"
"12626","black","PAK7"
"12632","black","PALMD"
"12655","black","PAR5"
"12714","black","PCDHA1"
"12730","black","PCDHB4"
"12734","black","PCDHB9"
"12735","black","PCDHGA4"
"12742","black","PCK1"
"12746","black","PCMT1"
"12880","black","PFKFB3"
"12905","black","PGRMC2"
"12923","black","PHF17"
"12925","black","PHF20"
"12975","black","PIGT"
"12979","black","PIGX"
"12993","black","PIK3R1"
"12995","black","PIK3R3"
"13019","black","PITPNC1"
"13031","black","PKD1L2"
"13089","black","PLCXD3"
"13102","black","PLEKHA5"
"13131","black","PLOD1"
"13135","black","PLRG1"
"13146","black","PLXNA2"
"13187","black","PNPLA1"
"13188","black","PNPLA3"
"13211","black","POLK"
"13228","black","POLR2L"
"13244","black","POMT2"
"13251","black","POP7"
"13310","black","PPM1K"
"13318","black","PPP1R12A"
"13326","black","PPP1R2"
"13362","black","PPTC7"
"13417","black","PRKCI"
"13448","black","PROX1"
"13450","black","PROZ"
"13458","black","PRPF40A"
"13559","black","PTCD3"
"13561","black","PTCHD1"
"13591","black","PTPLAD1"
"13595","black","PTPN1"
"13623","black","PTPRS"
"13625","black","PTPRZ1"
"13638","black","PUS3"
"13653","black","PXK"
"13676","black","RAB11B"
"13708","black","RAB3GAP1"
"13711","black","RAB3IP"
"13715","black","RAB4A"
"13717","black","RAB5A"
"13724","black","RAB9B"
"13789","black","RAPGEF6"
"13798","black","RASA2"
"13802","black","RASAL2"
"13830","black","RBBP6"
"13835","black","RBFOX2"
"13851","black","RBM25"
"13855","black","RBM3"
"13857","black","RBM34"
"13860","black","RBM41"
"13862","black","RBM43"
"13870","black","RBMS3"
"13872","black","RBMX2"
"13898","black","RDH13"
"13935","black","RFC1"
"13939","black","RFESD"
"13988","black","RHCG"
"14065","black","RNF13"
"14073","black","RNF150"
"14075","black","RNF165"
"14113","black","ROCK2"
"14174","black","RPP14"
"14182","black","RPRM"
"14186","black","RPS14"
"14187","black","RPS15"
"14214","black","RPUSD4"
"14217","black","RRAGC"
"14237","black","RSBN1L"
"14247","black","RSPRY1"
"14256","black","RTKN2"
"14273","black","RUNX1T1"
"14278","black","RWDD1"
"14348","black","SAV1"
"14357","black","SCAI"
"14366","black","SCARNA2"
"14370","black","SCFD2"
"14406","black","SCUBE2"
"14419","black","SDE2"
"14446","black","SEC22C"
"14448","black","SEC23IP"
"14457","black","SEC62"
"14482","black","SEMA5A"
"14487","black","SEMA6D"
"14518","black","SERINC1"
"14522","black","SERPINA1"
"14566","black","SETD8"
"14569","black","SETX"
"14582","black","SFMBT2"
"14586","black","SFSWAP"
"14595","black","SFXN1"
"14649","black","SHANK2"
"14696","black","SIN3A"
"14748","black","SLC13A2"
"14765","black","SLC16A7"
"14780","black","SLC1A2"
"14825","black","SLC25A39"
"14848","black","SLC28A1"
"14869","black","SLC30A7"
"14878","black","SLC35A3"
"14899","black","SLC38A1"
"14914","black","SLC40A1"
"14938","black","SLC4A7"
"14974","black","SLC7A2"
"14978","black","SLC7A6OS"
"14981","black","SLC8A1"
"14998","black","SLCO3A1"
"15011","black","SLITRK4"
"15047","black","SMCR7L"
"15119","black","SNX16"
"15151","black","SON"
"15153","black","SORCS1"
"15217","black","SPATA6"
"15222","black","SPATS2"
"15263","black","SPOP"
"15288","black","SPTLC2"
"15289","black","SPTLC3"
"15292","black","SQLE"
"15303","black","SREK1IP1"
"15327","black","SRSF11"
"15346","black","SSR1"
"15353","black","SSTR2"
"15417","black","STC1"
"15463","black","STRBP"
"15466","black","STRN3"
"15474","black","STX16"
"15509","black","SUN1"
"15527","black","SUV420H1"
"15533","black","SVIP"
"15589","black","TAB2"
"15608","black","TAF1D"
"15623","black","TAL2"
"15640","black","TAS1R1"
"15718","black","TCERG1"
"15719","black","TCF20"
"15722","black","TCF4"
"15823","black","TGS1"
"15850","black","THSD7A"
"15877","black","TINAG"
"15883","black","TIPRL"
"15927","black","TM7SF3"
"15934","black","TMBIM4"
"15950","black","TMED3"
"15988","black","TMEM14D"
"16001","black","TMEM169"
"16031","black","TMEM200A"
"16070","black","TMEM43"
"16075","black","TMEM5"
"16104","black","TMIGD2"
"16108","black","TMOD3"
"16143","black","TNFRSF10B"
"16152","black","TNFRSF19"
"16188","black","TNRC6B"
"16205","black","TOP3A"
"16241","black","TPP2"
"16243","black","TPR"
"16294","black","TRIM13"
"16299","black","TRIM2"
"16311","black","TRIM38"
"16349","black","TRMT13"
"16355","black","TRMT6"
"16363","black","TRPA1"
"16374","black","TRPM7"
"16376","black","TRPS1"
"16429","black","TSR2"
"16439","black","TTBK2"
"16452","black","TTC3"
"16468","black","TTF1"
"16470","black","TTI1"
"16537","black","U2SURP"
"16552","black","UBE2D3"
"16558","black","UBE2H"
"16574","black","UBE3A"
"16600","black","UBXN4"
"16601","black","UBXN6"
"16615","black","UGCG"
"16710","black","USP4"
"16715","black","USP47"
"16731","black","UTP20"
"16732","black","UTP23"
"16817","black","VRK3"
"16820","black","VSIG10"
"16840","black","WARS2"
"16848","black","WBP4"
"16916","black","WHAMMP3"
"16918","black","WHSC1L1"
"16922","black","WIPF2"
"16960","black","WWP1"
"16970","black","XIAP"
"16973","black","XKR4"
"16974","black","XKR6"
"17013","black","YTHDF3"
"17038","black","ZBTB20"
"17066","black","ZBTB8OS"
"17074","black","ZC3H14"
"17136","black","ZFYVE16"
"17150","black","ZKSCAN1"
"17157","black","ZMAT3"
"17164","black","ZMYM2"
"17181","black","ZNF131"
"17193","black","ZNF148"
"17206","black","ZNF181"
"17214","black","ZNF195"
"17220","black","ZNF208"
"17228","black","ZNF224"
"17239","black","ZNF248"
"17241","black","ZNF250"
"17249","black","ZNF264"
"17253","black","ZNF275"
"17263","black","ZNF287"
"17264","black","ZNF292"
"17265","black","ZNF295"
"17275","black","ZNF324"
"17279","black","ZNF331"
"17293","black","ZNF354B"
"17301","black","ZNF397"
"17308","black","ZNF420"
"17312","black","ZNF430"
"17326","black","ZNF454"
"17358","black","ZNF532"
"17359","black","ZNF542"
"17368","black","ZNF555"
"17370","black","ZNF557"
"17376","black","ZNF564"
"17379","black","ZNF569"
"17382","black","ZNF573"
"17403","black","ZNF611"
"17422","black","ZNF652"
"17441","black","ZNF689"
"17446","black","ZNF699"
"17482","black","ZNF789"
"17489","black","ZNF800"
"17515","black","ZNRF1"
"17537","black","ZSCAN29"
"7","blue","A4GNT"
"22","blue","ABCA1"
"24","blue","ABCA17P"
"34","blue","ABCB4"
"43","blue","ABCC2"
"48","blue","ABCD1"
"56","blue","ABCG8"
"93","blue","ACAP1"
"102","blue","ACCN5"
"106","blue","ACE2"
"117","blue","ACOT12"
"135","blue","ACSBG2"
"137","blue","ACSF3"
"139","blue","ACSM1"
"187","blue","ADAM20"
"198","blue","ADAMTS16"
"236","blue","ADH1A"
"253","blue","ADORA1"
"263","blue","ADRB2"
"279","blue","AFG3L1P"
"282","blue","AFMID"
"305","blue","AGPHD1"
"307","blue","AGR2"
"314","blue","AGTR1"
"317","blue","AGXT"
"318","blue","AGXT2"
"331","blue","AHSP"
"341","blue","AIRE"
"360","blue","AKNAD1"
"420","blue","ALX1"
"421","blue","ALX3"
"428","blue","AMELX"
"435","blue","AMPD1"
"455","blue","ANGPTL1"
"458","blue","ANK1"
"468","blue","ANKMY1"
"488","blue","ANKRD33"
"492","blue","ANKRD36B"
"504","blue","ANKRD60"
"515","blue","ANO7"
"543","blue","AP2A1"
"577","blue","APOA4"
"584","blue","APOBEC3G"
"585","blue","APOBEC3H"
"586","blue","APOBEC4"
"592","blue","APOL2"
"605","blue","AQP2"
"630","blue","ARG1"
"638","blue","ARHGAP23"
"672","blue","ARID3A"
"682","blue","ARL13A"
"725","blue","ARRDC3-AS1"
"747","blue","ASB14"
"751","blue","ASB4"
"774","blue","ASTN2"
"777","blue","ASZ1"
"826","blue","ATP1A4"
"829","blue","ATP1B4"
"856","blue","ATP6V0A4"
"858","blue","ATP6V0D2"
"860","blue","ATP6V1B1"
"873","blue","ATP9A"
"960","blue","BARX2"
"1021","blue","BEND2"
"1028","blue","BEST4"
"1030","blue","BET1L"
"1043","blue","BICC1"
"1055","blue","BIRC8"
"1068","blue","BMP10"
"1082","blue","BMX"
"1083","blue","BNC1"
"1103","blue","BPIFA3"
"1106","blue","BPIFB4"
"1110","blue","BRCA1"
"1147","blue","BTBD8"
"1149","blue","BTC"
"1158","blue","BTLA"
"1163","blue","BTNL8"
"1185","blue","C10H22orf23"
"1192","blue","C10orf53"
"1193","blue","C10orf54"
"1194","blue","C10orf55"
"1197","blue","C10orf99"
"1209","blue","C11H12orf61"
"1212","blue","C11H12orf69"
"1216","blue","C11orf1"
"1222","blue","C11orf44"
"1245","blue","C13H2orf74"
"1256","blue","C14H11orf42"
"1262","blue","C14H11orf65"
"1279","blue","C15H9orf11"
"1297","blue","C15orf41"
"1298","blue","C15orf54"
"1306","blue","C16H17orf47"
"1314","blue","C16H17orf66"
"1331","blue","C17orf76-AS1"
"1333","blue","C17orf78"
"1367","blue","C19orf69"
"1375","blue","C1H1orf158"
"1378","blue","C1H1orf210"
"1393","blue","C1orf220"
"1425","blue","C20H16orf82"
"1432","blue","C20orf166"
"1442","blue","C21orf128"
"1452","blue","C22orf45"
"1454","blue","C2CD2L"
"1500","blue","C3orf36"
"1504","blue","C3orf55"
"1507","blue","C4BPA"
"1508","blue","C4BPB"
"1528","blue","C4orf37"
"1560","blue","C6orf105"
"1572","blue","C6orf99"
"1599","blue","C7H15orf62"
"1607","blue","C7orf71"
"1608","blue","C8A"
"1630","blue","C9H10orf120"
"1637","blue","C9H10orf62"
"1679","blue","CACNA1H"
"1708","blue","CALML4"
"1740","blue","CAPNS2"
"1742","blue","CAPS2"
"1767","blue","CASP5"
"1772","blue","CASS4"
"1775","blue","CATSPER1"
"1812","blue","CCDC102B"
"1822","blue","CCDC113"
"1823","blue","CCDC116"
"1870","blue","CCDC60"
"1879","blue","CCDC70"
"1889","blue","CCDC87"
"1905","blue","CCL19"
"1943","blue","CCR1"
"1946","blue","CCR3"
"1982","blue","CD274"
"1990","blue","CD33"
"1995","blue","CD40LG"
"2009","blue","CD74"
"2029","blue","CDC20B"
"2030","blue","CDC23"
"2041","blue","CDC42EP1"
"2054","blue","CDCP1"
"2060","blue","CDH16"
"2063","blue","CDH19"
"2112","blue","CDNF"
"2124","blue","CEACAM5"
"2144","blue","CENPH"
"2191","blue","CFC1"
"2193","blue","CFHR5"
"2197","blue","CG030"
"2203","blue","CH25H"
"2240","blue","CHMP4C"
"2254","blue","CHRM5"
"2262","blue","CHRNA9"
"2295","blue","CIITA"
"2296","blue","CILP"
"2297","blue","CILP2"
"2335","blue","CLDN17"
"2345","blue","CLDN8"
"2357","blue","CLEC4A"
"2360","blue","CLEC6A"
"2362","blue","CLEC9A"
"2375","blue","CLMN"
"2388","blue","CLRN1"
"2389","blue","CLRN1-AS1"
"2397","blue","CLUL1"
"2482","blue","COL19A1"
"2501","blue","COL6A6"
"2519","blue","COPG2"
"2561","blue","CP"
"2565","blue","CPA3"
"2572","blue","CPEB2"
"2587","blue","CPS1-IT1"
"2597","blue","CR1"
"2599","blue","CRABP2"
"2628","blue","CRISPLD2"
"2655","blue","CRYGB"
"2657","blue","CRYGD"
"2674","blue","CSGALNACT2"
"2678","blue","CSN1S1"
"2682","blue","CSNK1A1L"
"2691","blue","CSPG4"
"2701","blue","CST2"
"2702","blue","CST5"
"2706","blue","CST9"
"2713","blue","CTAGE1"
"2720","blue","CTCFL"
"2721","blue","CTDNEP1"
"2730","blue","CTLA4"
"2748","blue","CTSE"
"2773","blue","CUZD1"
"2778","blue","CWF19L1"
"2779","blue","CWF19L2"
"2782","blue","CX3CR1"
"2784","blue","CXCL10"
"2791","blue","CXCL9"
"2797","blue","CXHXorf21"
"2845","blue","CYP2C75"
"2857","blue","CYP4F30P"
"2886","blue","DAOA"
"2891","blue","DAPL1"
"2892","blue","DAPP1"
"2896","blue","DAZA"
"2916","blue","DCAF8L2"
"2958","blue","DDR2"
"2987","blue","DEC1"
"2994","blue","DEFB103A"
"2997","blue","DEFB119"
"3031","blue","DGCR11"
"3092","blue","DISC1"
"3097","blue","DKK2"
"3127","blue","DMRT1"
"3129","blue","DMRT3"
"3138","blue","DNAH10"
"3142","blue","DNAH8"
"3196","blue","DNMT3L"
"3255","blue","DSC1"
"3265","blue","DSG2"
"3285","blue","DUOXA1"
"3330","blue","DZIP1L"
"3331","blue","E2F1"
"3352","blue","ECM1"
"3360","blue","EDDM3B"
"3378","blue","EFCAB11"
"3470","blue","ELF3"
"3472","blue","ELF5"
"3507","blue","EMILIN3"
"3541","blue","ENTHD1"
"3587","blue","EPN3"
"3616","blue","ERCC8"
"3618","blue","ERG"
"3625","blue","ERLEC1P1"
"3634","blue","ERVFRD-1"
"3635","blue","ERVV-1"
"3640","blue","ESM1"
"3651","blue","ESX1"
"3662","blue","ETS1"
"3670","blue","EVI2B"
"3678","blue","EXD3"
"3689","blue","EXOG"
"3716","blue","F2RL2"
"3719","blue","F5"
"3726","blue","FABP4"
"3736","blue","FAIM3"
"3753","blue","FAM115C"
"3775","blue","FAM138E"
"3780","blue","FAM153C"
"3783","blue","FAM160A1"
"3789","blue","FAM163A"
"3802","blue","FAM176A"
"3805","blue","FAM181A-AS1"
"3807","blue","FAM182B"
"3815","blue","FAM194A"
"3868","blue","FAM60A"
"3873","blue","FAM71B"
"3884","blue","FAM83A"
"3892","blue","FAM90A1"
"3916","blue","FASLG"
"3970","blue","FBXO46"
"3987","blue","FCGR3"
"4010","blue","FERMT1"
"4018","blue","FFAR2"
"4039","blue","FGF23"
"4043","blue","FGF6"
"4053","blue","FGG"
"4055","blue","FGR"
"4076","blue","FITM2"
"4093","blue","FLG2"
"4098","blue","FLJ13197"
"4099","blue","FLJ16124"
"4106","blue","FLJ31715"
"4107","blue","FLJ32742"
"4123","blue","FLJ42289"
"4126","blue","FLJ42875"
"4172","blue","FOXA2"
"4178","blue","FOXE3"
"4203","blue","FOXS1"
"4206","blue","FPR2"
"4207","blue","FPR3"
"4237","blue","FTMT"
"4260","blue","FXR1"
"4263","blue","FXYD3"
"4313","blue","GAL3ST1"
"4358","blue","GATA4"
"4371","blue","GBP6"
"4377","blue","GCG"
"4382","blue","GCKR"
"4425","blue","GFOD1"
"4442","blue","GGTA1P"
"4446","blue","GHR"
"4451","blue","GHRLOS2"
"4455","blue","GIMAP2"
"4461","blue","GIP"
"4468","blue","GJA8"
"4483","blue","GKN2"
"4505","blue","GLRX"
"4520","blue","GLYAT"
"4534","blue","GNA12"
"4542","blue","GNAT3"
"4556","blue","GNGT2"
"4579","blue","GOLT1A"
"4586","blue","GP2"
"4590","blue","GPA33"
"4598","blue","GPB7"
"4604","blue","GPC3"
"4625","blue","GPR112"
"4626","blue","GPR113"
"4628","blue","GPR119"
"4638","blue","GPR139"
"4639","blue","GPR141"
"4641","blue","GPR148"
"4653","blue","GPR171"
"4657","blue","GPR174"
"4659","blue","GPR179"
"4660","blue","GPR18"
